Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
10.0,Sun,2021-10-17,16:30,Sion,0–1,Basel,8350.0,Stade de Tourbillon,Luca Cibelli,Match Report,
10.0,Sun,2021-10-17,16:30,St. Gallen,2–1,Servette FC,13945.0,Kybunpark,Luca Piccolo,Match Report,
,,,,,,,,,,,
11.0,Sat,2021-10-23,18:00,Young Boys,3–2,Lausanne-Sport,24033.0,Wankdorfstadion,Lukas Fähndrich,Match Report,
11.0,Sat,2021-10-23,20:30,Grasshopper,3–3,Zürich,15700.0,Stadion Letzigrund,Adrien Jaccottet,Match Report,
11.0,Sun,2021-10-24,14:15,Luzern,2–0,St. Gallen,10769.0,swissporarena,Urs Schnyder,Match Report,
11.0,Sun,2021-10-24,16:30,Servette FC,1–2,Sion,9276.0,Stade de Genève,Sandro Schärer,Match Report,
11.0,Sun,2021-10-24,16:30,Basel,2–0,Lugano,19290.0,St. Jakob-Park,Alessandro Dudic,Match Report,
,,,,,,,,,,,
12.0,Sat,2021-10-30,18:00,St. Gallen,3–1,Young Boys,17901.0,Kybunpark,Fedayi San,Match Report,
12.0,Sat,2021-10-30,20:30,Zürich,3–3,Basel,15030.0,Stadion Letzigrund,Lukas Fähndrich,Match Report,
12.0,Sun,2021-10-31,14:15,Sion,1–3,Grasshopper,7200.0,Stade de Tourbillon,Alessandro Dudic,Match Report,
12.0,Sun,2021-10-31,16:30,Lugano,2–1,Servette FC,4338.0,Stadio di Cornaredo,Adrien Jaccottet,Match Report,
12.0,Sun,2021-10-31,16:30,Lausanne-Sport,1–1,Luzern,4664.0,Stade de la Tuilière,Luca Cibelli,Match Report,
,,,,,,,,,,,
13.0,Sat,2021-11-06,18:00,Grasshopper,1–1,Young Boys,7736.0,Stadion Letzigrund,Adrien Jaccottet,Match Report,
13.0,Sat,2021-11-06,20:30,Luzern,0–1,Sion,8241.0,swissporarena,Alain Bieri,Match Report,
13.0,Sun,2021-11-07,14:15,Servette FC,1–2,Zürich,6028.0,Stade de Genève,Luca Cibelli,Match Report,
13.0,Sun,2021-11-07,16:30,Lausanne-Sport,0–2,Lugano,5654.0,Stade de la Tuilière,Sven Wolfensberger,Match Report,
13.0,Sun,2021-11-07,16:30,Basel,0–1,St. Gallen,23599.0,St. Jakob-Park,Urs Schnyder,Match Report,
,,,,,,,,,,,
14.0,Sat,2021-11-20,18:00,Sion,0–1,Zürich,8700.0,Stade de Tourbillon,Luca Piccolo,Match Report,
14.0,Sun,2021-11-21,14:15,St. Gallen,0–1,Lausanne-Sport,15965.0,Kybunpark,Lukas Fähndrich,Match Report,
14.0,Sun,2021-11-21,16:30,Lugano,3–1,Luzern,3020.0,Stadio di Cornaredo,Urs Schnyder,Match Report,
14.0,Sun,2021-11-21,16:30,Servette FC,3–2,Grasshopper,5027.0,Stade de Genève,Adrien Jaccottet,Match Report,
,,,,,,,,,,,
15.0,Sat,2021-11-27,18:00,Grasshopper,0–1,Lugano,3044.0,Stadion Letzigrund,Lukas Fähndrich,Match Report,
15.0,Sat,2021-11-27,20:30,Sion,3–1,St. Gallen,5800.0,Stade de Tourbillon,Stefan Horisberger,Match Report,
15.0,Sun,2021-11-28,14:15,Zürich,1–0,Young Boys,15338.0,Stadion Letzigrund,Alain Bieri,Match Report,
15.0,Sun,2021-11-28,16:30,Lausanne-Sport,0–3,Servette FC,10037.0,Stade de la Tuilière,Fedayi San,Match Report,
15.0,Sun,2021-11-28,16:30,Luzern,1–3,Basel,12159.0,swissporarena,Sandro Schärer,Match Report,
,,,,,,,,,,,
4.0,Wed,2021-12-01,20:30,Young Boys,3–1,Lugano,19973.0,Wankdorfstadion,Lukas Fähndrich,Match Report,
,,,,,,,,,,,
16.0,Sat,2021-12-04,18:00,Zürich,4–0,Luzern,9540.0,Stadion Letzigrund,Lukas Fähndrich,Match Report,
16.0,Sat,2021-12-04,20:30,Young Boys,1–2,Servette FC,22629.0,Wankdorfstadion,Urs Schnyder,Match Report,
16.0,Sun,2021-12-05,14:15,Basel,1–1,Lausanne-Sport,18871.0,St. Jakob-Park,Adrien Jaccottet,Match Report,
16.0,Sun,2021-12-05,16:30,St. Gallen,0–4,Grasshopper,14335.0,Kybunpark,Alessandro Dudic,Match Report,
16.0,Sun,2021-12-05,16:30,Lugano,2–0,Sion,2430.0,Stadio di Cornaredo,Esther Staubli,Match Report,
,,,,,,,,,,,
17.0,Sat,2021-12-11,18:00,Lausanne-Sport,1–3,Zürich,3192.0,Stade de la Tuilière,Luca Cibelli,Match Report,
