1_Player,2_Nation,3_Pos,4_Squad,5_Comp,6_Age,7_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xA,Expected_npxG+xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,33_Matches
Kevin Agudelo,co COL,"FW,MF",Spezia,it Serie A,23-121,1998,14,5,668,7.4,2,0,2,0,0,2,1,0.27,0.00,0.27,0.27,0.27,1.4,1.4,0.6,2.0,0.19,0.08,0.27,0.19,0.27,Matches
Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25-350,1996,24,24,2150,23.9,2,1,2,0,0,2,0,0.08,0.04,0.13,0.08,0.13,1.6,1.6,0.3,1.8,0.07,0.01,0.08,0.07,0.08,Matches
Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33-286,1988,4,2,151,1.7,1,0,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,1.1,1.1,0.3,1.3,0.64,0.16,0.80,0.64,0.80,Matches
Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28-323,1993,19,13,1362,15.1,0,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,0.1,0.1,0.4,0.5,0.00,0.03,0.03,0.00,0.03,Matches
Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,22-040,2000,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,19-351,2002,3,0,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22-354,1999,6,6,540,6.0,0,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,0.2,0.2,0.2,0.4,0.03,0.03,0.06,0.03,0.06,Matches
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27-360,1994,16,7,589,6.5,1,1,1,0,0,0,0,0.15,0.15,0.31,0.15,0.31,0.8,0.8,0.8,1.6,0.13,0.12,0.25,0.13,0.25,Matches
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,26-167,1995,22,20,1738,19.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.00,0.01,0.01,0.01,Matches
