1_Player,2_Nation,3_Pos,4_Squad,5_Comp,6_Age,7_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xA,Expected_npxG+xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,33_Matches
Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,29-146,1992,15,9,796,8.8,1,0,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,0.2,0.2,1.2,1.4,0.02,0.14,0.16,0.02,0.16,Matches
Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,33-296,1988,24,21,1744,19.4,3,1,3,0,0,6,0,0.15,0.05,0.21,0.15,0.21,1.1,1.1,1.1,2.2,0.06,0.06,0.11,0.06,0.11,Matches
Saulo Decarli,ch SUI,DF,Bochum,de Bundesliga,30-039,1992,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.29,0.00,0.29,0.29,0.29,Matches
Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Troy Deeney,eng ENG,FW,Watford,eng Premier League,33-259,1988,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,1.45,0.32,1.77,1.45,1.77,Matches
Grégoire Defrel,mq MTQ,FW,Sassuolo,it Serie A,30-271,1991,29,8,1013,11.3,2,1,2,0,0,3,0,0.18,0.09,0.27,0.18,0.27,2.9,2.9,1.3,4.2,0.26,0.11,0.37,0.26,0.37,Matches
Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,26-226,1995,25,21,1646,18.3,3,1,3,0,0,5,0,0.16,0.05,0.22,0.16,0.22,1.7,1.7,1.1,2.8,0.09,0.06,0.15,0.09,0.15,Matches
Romain Del Castillo,fr FRA,"MF,FW",Rennes,fr Ligue 1,25-351,1996,3,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.38,0.16,0.55,0.38,0.55,Matches
Romain Del Castillo,fr FRA,"FW,MF",Brest,fr Ligue 1,25-351,1996,13,7,621,6.9,0,3,0,0,0,1,0,0.00,0.43,0.43,0.00,0.43,0.7,0.5,1.1,1.7,0.11,0.17,0.27,0.07,0.24,Matches
Thomas Delaine,fr FRA,DF,Metz,fr Ligue 1,29-356,1992,21,19,1707,19.0,0,2,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0.5,0.5,2.1,2.6,0.03,0.11,0.14,0.03,0.14,Matches
Thomas Delaney,dk DEN,MF,Sevilla,es La Liga,30-193,1991,19,11,1094,12.2,2,1,2,0,0,4,1,0.16,0.08,0.25,0.16,0.25,1.0,1.0,0.4,1.4,0.08,0.03,0.12,0.08,0.12,Matches
Thomas Delaney,dk DEN,MF,Dortmund,de Bundesliga,30-193,1991,1,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Liam Delap,eng ENG,FW,Manchester City,eng Premier League,19-035,2003,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Sacha Delaye,fr FRA,"MF,FW",Montpellier,fr Ligue 1,19-326,2002,5,0,44,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.17,0.09,0.26,0.17,0.26,Matches
Filippo Delli Carri,it ITA,DF,Salernitana,it Serie A,22-316,1999,6,4,424,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.04,0.02,0.05,0.04,0.05,Matches
Andy Delort,dz ALG,FW,Nice,fr Ligue 1,30-157,1991,22,16,1579,17.5,7,1,6,1,1,3,0,0.40,0.06,0.46,0.34,0.40,8.0,7.2,3.1,10.3,0.45,0.18,0.63,0.41,0.59,Matches
Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,30-157,1991,3,3,269,3.0,2,1,2,0,0,0,0,0.67,0.33,1.00,0.67,1.00,1.4,1.4,0.7,2.1,0.48,0.22,0.70,0.48,0.70,Matches
Fabian Delph,eng ENG,MF,Everton,eng Premier League,32-114,1989,6,3,249,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.02,0.02,0.01,0.02,Matches
Moussa Dembélé,fr FRA,FW,Lyon,fr Ligue 1,25-246,1996,20,15,1355,15.1,10,2,5,5,5,4,0,0.66,0.13,0.80,0.33,0.46,9.8,6.1,2.0,8.1,0.65,0.13,0.78,0.41,0.54,Matches
Ousmane Dembélé,fr FRA,"FW,DF",Barcelona,es La Liga,24-304,1997,11,7,675,7.5,1,7,1,0,0,1,0,0.13,0.93,1.07,0.13,1.07,1.1,1.1,4.4,5.5,0.15,0.59,0.74,0.15,0.74,Matches
Yusuf Demir,at AUT,FW,Barcelona,es La Liga,18-286,2003,6,2,192,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04,Matches
Merih Demiral,tr TUR,DF,Atalanta,it Serie A,24-010,1998,19,18,1520,16.9,1,1,1,0,0,6,0,0.06,0.06,0.12,0.06,0.12,2.0,2.0,0.0,2.0,0.12,0.00,0.12,0.12,0.12,Matches
Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,28-255,1993,25,20,1790,19.9,1,3,0,1,2,9,0,0.05,0.15,0.20,0.00,0.15,3.3,1.7,3.3,5.1,0.16,0.17,0.33,0.09,0.26,Matches
Ermedin Demirović,ba BIH,"FW,MF",Freiburg,de Bundesliga,23-355,1998,24,6,644,7.2,2,3,2,0,0,3,0,0.28,0.42,0.70,0.28,0.70,2.7,2.7,1.0,3.7,0.38,0.14,0.52,0.38,0.52,Matches
Diego Demme,de GER,MF,Napoli,it Serie A,30-114,1991,14,6,557,6.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.00,0.05,0.06,0.00,0.06,Matches
Jason Denayer,be BEL,DF,Lyon,fr Ligue 1,26-260,1995,14,11,912,10.1,3,0,3,0,0,2,0,0.30,0.00,0.30,0.30,0.30,1.4,1.4,0.0,1.4,0.14,0.00,0.14,0.14,0.14,Matches
Leander Dendoncker,be BEL,MF,Wolves,eng Premier League,26-334,1995,23,14,1322,14.7,1,2,1,0,0,4,0,0.07,0.14,0.20,0.07,0.20,1.5,1.5,0.9,2.4,0.10,0.06,0.16,0.10,0.16,Matches
Emmanuel Dennis,ng NGA,"FW,MF",Watford,eng Premier League,24-120,1997,27,26,2174,24.2,9,5,9,0,0,9,1,0.37,0.21,0.58,0.37,0.58,6.8,6.8,2.5,9.3,0.28,0.10,0.39,0.28,0.39,Matches
Fabio Depaoli,it ITA,DF,Hellas Verona,it Serie A,24-325,1997,10,5,417,4.6,1,1,1,0,0,3,0,0.22,0.22,0.43,0.22,0.43,0.3,0.3,0.2,0.6,0.07,0.05,0.12,0.07,0.12,Matches
Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Fabio Depaoli,it ITA,"MF,DF",Sampdoria,it Serie A,24-325,1997,6,1,112,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Memphis Depay,nl NED,FW,Barcelona,es La Liga,28-030,1994,19,15,1422,15.8,10,2,6,4,5,3,0,0.63,0.13,0.76,0.38,0.51,9.8,6.0,3.5,9.5,0.62,0.22,0.84,0.38,0.60,Matches
Mike van der Hoorn,nl NED,DF,Arminia,de Bundesliga,29-151,1992,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Arthur Desmas,fr FRA,GK,Clermont Foot,fr Ligue 1,27-342,1994,13,13,1170,13.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Sergiño Dest,us USA,"DF,FW",Barcelona,es La Liga,21-132,2000,18,15,1353,15.0,0,3,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,1.5,1.5,2.7,4.2,0.10,0.18,0.28,0.10,0.28,Matches
Mattia Destro,it ITA,FW,Genoa,it Serie A,30-360,1991,20,17,1381,15.3,9,1,9,0,0,3,0,0.59,0.07,0.65,0.59,0.65,6.6,6.6,1.0,7.6,0.43,0.06,0.49,0.43,0.49,Matches
Gerard Deulofeu,es ESP,"FW,MF",Udinese,it Serie A,28-002,1994,25,22,1880,20.9,8,2,8,0,0,7,0,0.38,0.10,0.48,0.38,0.48,5.2,5.2,4.5,9.7,0.26,0.23,0.49,0.26,0.49,Matches
Kiernan Dewsbury Hall,eng ENG,MF,Leicester City,eng Premier League,23-190,1998,17,12,1155,12.8,0,2,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,0.9,0.9,1.6,2.6,0.07,0.13,0.20,0.07,0.20,Matches
Jacopo Dezi,it ITA,MF,Venezia,it Serie A,30-033,1992,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.21,0.15,0.35,0.21,0.35,Matches
Samuel Di Carmine,it ITA,FW,Hellas Verona,it Serie A,33-176,1988,1,0,36,0.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.07,0.00,0.07,0.07,0.07,Matches
Federico Di Francesco,it ITA,"FW,MF",Empoli,it Serie A,27-274,1994,19,13,1065,11.8,4,0,4,0,0,1,0,0.34,0.00,0.34,0.34,0.34,2.1,2.1,1.0,3.1,0.18,0.08,0.26,0.18,0.26,Matches
Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,28-223,1993,29,29,2531,28.1,1,2,1,0,0,3,0,0.04,0.07,0.11,0.04,0.11,1.0,1.0,2.5,3.5,0.04,0.09,0.12,0.04,0.12,Matches
Ángel Di María,ar ARG,FW,Paris S-G,fr Ligue 1,34-029,1988,20,15,1291,14.3,3,3,3,0,0,2,0,0.21,0.21,0.42,0.21,0.42,4.2,4.2,4.3,8.5,0.29,0.30,0.59,0.29,0.59,Matches
Francesco Di Mariano,it ITA,FW,Venezia,it Serie A,25-329,1996,1,1,62,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.08,0.08,0.00,0.08,Matches
Francesco Di Tacchio,it ITA,MF,Salernitana,it Serie A,31-329,1990,18,14,1255,13.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.03,0.01,0.04,0.03,0.04,Matches
Boulaye Dia,sn SEN,FW,Villarreal,es La Liga,25-119,1996,19,9,938,10.4,5,4,5,0,0,2,0,0.48,0.38,0.86,0.48,0.86,4.4,4.4,1.3,5.8,0.42,0.13,0.55,0.42,0.55,Matches
Moussa Diaby,fr FRA,FW,Leverkusen,de Bundesliga,22-251,1999,24,24,2052,22.8,12,7,12,0,0,9,1,0.53,0.31,0.83,0.53,0.83,6.5,6.5,6.3,12.7,0.28,0.28,0.56,0.28,0.56,Matches
Yadaly Diaby,fr FRA,"FW,MF",Clermont Foot,fr Ligue 1,21-218,2000,5,0,67,0.7,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.17,0.00,0.17,0.17,0.17,Matches
Mouctar Diakhaby,fr FRA,DF,Valencia,es La Liga,25-086,1996,22,14,1376,15.3,0,1,0,0,0,8,0,0.00,0.07,0.07,0.00,0.07,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches
Ibrahim Diakité,fr FRA,MF,Reims,fr Ligue 1,18-135,2003,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Abdou Diallo,sn SEN,DF,Paris S-G,fr Ligue 1,25-315,1996,11,10,863,9.6,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.2,0.2,0.6,0.7,0.02,0.06,0.08,0.02,0.08,Matches
Habib Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,26-270,1995,22,12,1179,13.1,9,1,8,1,1,2,0,0.69,0.08,0.76,0.61,0.69,7.6,6.9,1.6,8.5,0.58,0.12,0.70,0.53,0.65,Matches
Ibrahima Diallo,fr FRA,MF,Southampton,eng Premier League,23-007,1999,19,7,755,8.4,0,2,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,0.4,0.4,0.9,1.4,0.05,0.11,0.16,0.05,0.16,Matches
Mouhamadou Diarra,sn SEN,MF,Strasbourg,fr Ligue 1,18-071,2004,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Stéphane Diarra,fr FRA,"FW,MF",Lorient,fr Ligue 1,23-096,1998,14,5,502,5.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,1.5,2.8,0.24,0.27,0.51,0.24,0.51,Matches
Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Raphael Dias Belloli,br BRA,"MF,FW",Leeds United,eng Premier League,25-091,1996,27,26,2247,25.0,9,3,6,3,3,6,0,0.36,0.12,0.48,0.24,0.36,9.2,6.9,6.2,13.0,0.37,0.25,0.61,0.28,0.52,Matches
Rúben Dias,pt POR,DF,Manchester City,eng Premier League,24-305,1997,25,24,2132,23.7,2,3,2,0,0,5,0,0.08,0.13,0.21,0.08,0.21,1.5,1.5,2.1,3.6,0.06,0.09,0.15,0.06,0.15,Matches
Krepin Diatta,sn SEN,"MF,DF",Monaco,fr Ligue 1,23-018,1999,8,3,285,3.2,1,0,1,0,0,0,0,0.32,0.00,0.32,0.32,0.32,0.2,0.2,0.1,0.3,0.07,0.04,0.11,0.07,0.11,Matches
Amadou Diawara,gn GUI,MF,Roma,it Serie A,24-241,1997,4,2,170,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.03,0.03,0.01,0.03,Matches
Brahim Díaz,es ESP,MF,Milan,it Serie A,22-224,1999,24,20,1495,16.6,3,3,3,0,0,4,0,0.18,0.18,0.36,0.18,0.36,4.3,4.3,2.0,6.3,0.26,0.12,0.38,0.26,0.38,Matches
Javier Díaz,es ESP,GK,Sevilla,es La Liga,24-304,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Luis Díaz,co COL,FW,Liverpool,eng Premier League,25-061,1997,5,5,441,4.9,2,0,2,0,0,0,0,0.41,0.00,0.41,0.41,0.41,2.3,2.3,1.0,3.4,0.48,0.21,0.69,0.48,0.69,Matches
Víctor Díaz,es ESP,DF,Granada,es La Liga,33-276,1988,15,11,947,10.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.05,0.01,0.06,0.05,0.06,Matches
Daniel Didavi,de GER,"FW,MF",Stuttgart,de Bundesliga,32-022,1990,10,2,277,3.1,0,1,0,0,0,1,0,0.00,0.32,0.32,0.00,0.32,1.0,1.0,0.8,1.7,0.32,0.25,0.57,0.32,0.57,Matches
Bamba Dieng,sn SEN,"FW,MF",Marseille,fr Ligue 1,21-357,2000,18,9,716,8.0,4,0,4,0,0,0,1,0.50,0.00,0.50,0.50,0.50,4.7,4.7,0.1,4.8,0.59,0.02,0.60,0.59,0.60,Matches
Eric Dier,eng ENG,DF,Tottenham,eng Premier League,28-059,1994,24,24,2081,23.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,1.3,2.2,0.04,0.06,0.09,0.04,0.09,Matches
Elhadji Dieye,sn SEN,"MF,FW",Saint-Étienne,fr Ligue 1,19-283,2002,5,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.08,0.00,0.08,0.08,0.08,Matches
Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,28-238,1993,8,8,639,7.1,0,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,0.5,0.5,0.6,1.1,0.07,0.08,0.15,0.07,0.15,Matches
Lucas Digne,fr FRA,DF,Everton,eng Premier League,28-238,1993,13,13,1170,13.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.7,2.1,0.03,0.13,0.16,0.03,0.16,Matches
Virgil van Dijk,nl NED,DF,Liverpool,eng Premier League,30-250,1991,26,26,2340,26.0,3,1,3,0,0,2,0,0.12,0.04,0.15,0.12,0.15,2.0,2.0,0.3,2.3,0.08,0.01,0.09,0.08,0.09,Matches
Mitchell Dijks,nl NED,DF,Bologna,it Serie A,29-034,1993,10,3,327,3.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.5,0.06,0.06,0.13,0.06,0.13,Matches
Javairô Dilrosun,nl NED,"FW,MF",Bordeaux,fr Ligue 1,23-266,1998,22,11,1036,11.5,0,3,0,0,0,2,0,0.00,0.26,0.26,0.00,0.26,1.4,1.4,1.9,3.3,0.12,0.16,0.28,0.12,0.28,Matches
Javairô Dilrosun,nl NED,FW,Hertha BSC,de Bundesliga,23-266,1998,2,1,138,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
Federico Dimarco,it ITA,DF,Inter,it Serie A,24-125,1997,25,8,1047,11.6,2,2,2,0,1,1,0,0.17,0.17,0.34,0.17,0.34,2.9,2.2,4.2,6.4,0.25,0.36,0.62,0.19,0.55,Matches
Landry Dimata,be BEL,"FW,MF",Espanyol,es La Liga,24-195,1997,16,4,524,5.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.2,1.6,0.23,0.04,0.27,0.23,0.27,Matches
Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,28-080,1993,21,20,1872,20.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Junior Dina Ebimbe,fr FRA,MF,Paris S-G,fr Ligue 1,21-114,2000,8,3,240,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.04,0.02,0.06,0.04,0.06,Matches
Tristan Dingomé,cm CMR,"MF,FW",Troyes,fr Ligue 1,31-026,1991,18,10,890,9.9,2,4,2,0,0,2,0,0.20,0.40,0.61,0.20,0.61,0.8,0.8,2.2,3.0,0.08,0.22,0.30,0.08,0.30,Matches
Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,20-340,2001,11,5,579,6.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.04,0.00,0.04,0.04,0.04,Matches
Issa Diop,fr FRA,DF,West Ham,eng Premier League,25-065,1997,11,9,811,9.0,0,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches
Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Sofiane Diop,fr FRA,"MF,FW",Monaco,fr Ligue 1,21-279,2000,27,23,1878,20.9,6,4,6,0,0,6,0,0.29,0.19,0.48,0.29,0.48,5.3,5.3,3.3,8.5,0.25,0.16,0.41,0.25,0.41,Matches
Andy Diouf,fr FRA,MF,Rennes,fr Ligue 1,19-302,2002,5,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,3.03,3.03,0.00,3.03,Matches
Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,24-176,1997,4,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,24-004,1998,24,22,2006,22.3,1,0,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,1.5,1.5,0.3,1.8,0.07,0.01,0.08,0.07,0.08,Matches
Filippo Distefano,it ITA,FW,Fiorentina,it Serie A,18-199,2003,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Matías Dituro,ar ARG,GK,Celta Vigo,es La Liga,34-311,1987,28,28,2520,28.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,21-340,2000,20,19,1694,18.8,1,1,1,0,0,4,0,0.05,0.05,0.11,0.05,0.11,1.0,1.0,0.2,1.2,0.05,0.01,0.07,0.05,0.07,Matches
Djené,tg TOG,DF,Getafe,es La Liga,30-074,1991,26,26,2305,25.6,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.00,0.01,0.01,0.00,0.01,Matches
Moussa Djenepo,ml MLI,MF,Southampton,eng Premier League,23-273,1998,11,5,438,4.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.2,1.7,0.30,0.05,0.35,0.30,0.35,Matches
Koffi Djidji,ci CIV,DF,Torino,it Serie A,29-105,1992,20,20,1570,17.4,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.02,0.00,0.03,0.02,0.03,Matches
Alexander Djiku,gh GHA,DF,Strasbourg,fr Ligue 1,27-218,1994,22,21,1892,21.0,1,0,1,0,0,8,1,0.05,0.00,0.05,0.05,0.05,1.9,1.9,0.6,2.5,0.09,0.03,0.12,0.09,0.12,Matches
Bryan Djile Nokoué,cm CMR,"DF,MF",Saint-Étienne,fr Ligue 1,19-296,2002,2,0,57,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,29-024,1993,22,18,1619,18.0,0,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,0.5,0.5,0.7,1.2,0.03,0.04,0.07,0.03,0.07,Matches
Ouparine Djoco,sn SEN,GK,Clermont Foot,fr Ligue 1,23-327,1998,15,15,1350,15.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Naïs Djouahra,fr FRA,"FW,MF",Real Sociedad,es La Liga,22-112,1999,5,1,169,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.09,0.02,0.11,0.09,0.11,Matches
Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,30-050,1992,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Lewis Dobbin,eng ENG,"FW,MF",Everton,eng Premier League,19-071,2003,3,0,32,0.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Matt Doherty,ie IRL,DF,Tottenham,eng Premier League,30-058,1992,11,5,596,6.6,1,4,1,0,0,0,0,0.15,0.60,0.76,0.15,0.76,1.9,1.9,1.7,3.6,0.28,0.26,0.54,0.28,0.54,Matches
Jeremy Doku,be BEL,"MF,FW",Rennes,fr Ligue 1,19-292,2002,12,4,438,4.9,1,2,1,0,0,2,0,0.21,0.41,0.62,0.21,0.62,0.8,0.8,1.2,2.0,0.16,0.25,0.41,0.16,0.41,Matches
Kasper Dolberg,dk DEN,FW,Nice,fr Ligue 1,24-160,1997,20,15,1145,12.7,6,1,4,2,2,0,0,0.47,0.08,0.55,0.31,0.39,5.8,4.3,0.6,4.9,0.46,0.05,0.51,0.34,0.39,Matches
Jaume Doménech,es ESP,GK,Valencia,es La Liga,31-130,1990,3,2,253,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Brandon Domingues,fr FRA,"MF,FW",Troyes,fr Ligue 1,21-282,2000,11,1,231,2.6,1,0,1,0,0,0,0,0.39,0.00,0.39,0.39,0.39,0.9,0.9,0.3,1.2,0.35,0.12,0.47,0.35,0.47,Matches
Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,21-073,2001,5,3,301,3.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches
Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,23-260,1998,21,20,1697,18.9,0,2,0,0,0,7,0,0.00,0.11,0.11,0.00,0.11,1.2,1.2,1.4,2.6,0.07,0.07,0.14,0.07,0.14,Matches
Lee Dongjun,kr KOR,MF,Hertha BSC,de Bundesliga,25-042,1997,4,1,118,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6,0.43,0.00,0.43,0.43,0.43,Matches
Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Anastasios Donis,gr GRE,"FW,MF",Reims,fr Ligue 1,25-198,1996,13,3,370,4.1,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.4,1.1,0.18,0.09,0.27,0.18,0.27,Matches
