1_Player,3_Pos,4_Squad,6_Age,Performance_Gls,Performance_Ast
Abdu Conté,DF,Troyes,23-356,0,0
Andrea Conti,"DF,MF",Sampdoria,28-013,1,0
Liam Cooper,DF,Leeds United,30-197,0,1
Lucas Copado,FW,Bayern Munich,18-064,0,0
Diego Coppola,DF,Hellas Verona,18-077,0,0
Francis Coquelin,MF,Villarreal,30-306,1,1
Sébastien Corchia,DF,Nantes,31-134,0,3
Sergio Córdova,"FW,MF",Augsburg,24-218,0,0
Jack Cork,MF,Burnley,32-263,0,0
Maxwel Cornet,"FW,MF",Burnley,25-169,6,0
Jesús Corona,"FW,DF",Sevilla,29-068,0,2
Ángel Correa,"FW,MF",Atlético Madrid,27-006,11,5
Joaquín Correa,FW,Inter,27-214,4,1
Thierry Correia,DF,Valencia,23-006,0,0
Danny da Costa,DF,Eint Frankfurt,28-245,0,0
David Pereira da Costa,"MF,FW",Lens,21-069,1,2
Hélder Costa,MF,Leeds United,28-062,0,1
Jaume Costa,DF,Mallorca,33-362,0,3
Benoît Costil,GK,Bordeaux,34-255,0,0
Vladimír Coufal,DF,West Ham,29-205,0,3
Kalifa Coulibaly,FW,Nantes,30-206,1,0
Lassana Coulibaly,MF,Salernitana,25-339,0,0
Mamadou Coulibaly,"MF,FW",Salernitana,23-040,2,0
Tanguy Coulibaly,"DF,FW",Stuttgart,21-025,0,1
Thibaut Courtois,GK,Real Madrid,29-308,0,0
Philippe Coutinho,"MF,FW",Barcelona,29-276,6,3
Nicolas Cozza,DF,Montpellier,23-066,2,2
Alessio Cragno,GK,Cagliari,27-260,0,0
Aaron Cresswell,DF,West Ham,32-090,1,3
Charlie Cresswell,DF,Leeds United,19-098,0,0
Domenico Criscito,DF,Genoa,35-075,5,1
Bryan Cristante,MF,Roma,27-012,2,0
Cristo,DF,Real Sociedad,21-319,0,0
Domen Črnigoj,"MF,DF",Venezia,26-117,2,1
Giovanni Crociata,FW,Empoli,24-216,0,0
Juan Cruz Armada,DF,Osasuna,29-230,0,0
Juan Cuadrado,"DF,MF",Juventus,33-293,4,2
Cucho,"FW,MF",Watford,22-329,5,2
Marc Cucurella,"FW,DF",Getafe,23-236,0,1
Jorge Cuenca,DF,Getafe,22-118,1,0
Mickaël Cuisance,MF,Bayern Munich,22-211,0,0
Luke Cundle,MF,Wolves,19-323,0,0
Matheus Cunha,FW,Hertha BSC,22-292,5,3
Patrick Cutrone,FW,Empoli,24-071,2,0
Wylan Cyprien,MF,Nantes,27-046,1,1
Rafael Czichos,DF,Köln,31-305,0,1
Lennart-Marten Czyborra,DF,Arminia,22-316,0,0
Danilo D'Ambrosio,DF,Inter,33-187,1,0
Lucas Da Cunha,MF,Nice,20-279,1,1
Damien Da Silva,DF,Lyon,33-302,0,0
Moanes Dabbur,"FW,MF",Hoffenheim,29-305,3,4
Colin Dagba,DF,Paris S-G,23-187,0,0
Mahmoud Dahoud,MF,Dortmund,26-073,2,3
Patson Daka,FW,Leicester City,23-157,4,3
Stuart Dallas,"DF,MF",Leeds United,30-330,1,1
Diogo Dalot,DF,Manchester Utd,22-362,0,0
Mikkel Damsgaard,"MF,FW",Sampdoria,21-255,0,0
Flavius Daniliuc,DF,Nice,20-322,0,0
Danilo,DF,Juventus,30-243,1,1
Kevin Danso,DF,Lens,23-177,0,1
Dante,DF,Nice,38-148,0,0
Ebrima Darboe,MF,Roma,20-282,0,0
Márton Dárdai,DF,Hertha BSC,20-031,0,1
Sergi Darder,MF,Espanyol,28-083,3,6
Vladimír Darida,MF,Hertha BSC,31-219,1,5
Karl Darlow,GK,Newcastle Utd,31-158,0,0
Matteo Darmian,DF,Inter,32-103,1,1
Josh Dasilva,"MF,FW",Brentford,23-143,0,0
Jonathan David,FW,Lille,22-060,13,0
Alphonso Davies,DF,Bayern Munich,21-133,0,3
Ben Davies,DF,Tottenham,28-325,0,1
Tom Davies,MF,Everton,23-258,1,0
Keinan Davis,FW,Aston Villa,24-030,0,0
Paweł Dawidowicz,DF,Hellas Verona,26-299,0,0
Craig Dawson,DF,West Ham,31-313,2,1
Kevin De Bruyne,MF,Manchester City,30-260,9,3
Konrad De La Fuente,"FW,DF",Marseille,20-242,0,2
Sebastien De Maio,DF,Udinese,35-010,0,0
Tommaso De Nipoti,MF,Atalanta,18-235,0,0
Rodrigo De Paul,MF,Atlético Madrid,27-295,1,1
Mattia De Sciglio,DF,Juventus,29-146,1,0
Lorenzo De Silvestri,DF,Bologna,33-296,3,1
Saulo Decarli,DF,Bochum,30-039,0,0
Troy Deeney,FW,Watford,33-259,0,0
Grégoire Defrel,FW,Sassuolo,30-271,2,1
Alessandro Deiola,MF,Cagliari,26-226,3,1
Romain Del Castillo,"MF,FW",Rennes,25-351,0,3
Thomas Delaine,DF,Metz,29-356,0,2
Thomas Delaney,MF,Sevilla,30-193,2,1
Liam Delap,FW,Manchester City,19-035,0,0
Sacha Delaye,"MF,FW",Montpellier,19-326,0,0
Filippo Delli Carri,DF,Salernitana,22-316,0,0
Andy Delort,FW,Nice,30-157,9,2
Fabian Delph,MF,Everton,32-114,0,0
Moussa Dembélé,FW,Lyon,25-246,10,2
Ousmane Dembélé,"FW,DF",Barcelona,24-304,1,7
Yusuf Demir,FW,Barcelona,18-286,0,0
Merih Demiral,DF,Atalanta,24-010,1,1
Kerem Demirbay,MF,Leverkusen,28-255,1,3
Ermedin Demirović,"FW,MF",Freiburg,23-355,2,3
Diego Demme,MF,Napoli,30-114,0,0
Jason Denayer,DF,Lyon,26-260,3,0
Leander Dendoncker,MF,Wolves,26-334,1,2
Emmanuel Dennis,"FW,MF",Watford,24-120,9,5
Fabio Depaoli,DF,Hellas Verona,24-325,1,1
Memphis Depay,FW,Barcelona,28-030,10,2
Mike van der Hoorn,DF,Arminia,29-151,0,0
Arthur Desmas,GK,Clermont Foot,27-342,0,0
Sergiño Dest,"DF,FW",Barcelona,21-132,0,3
Mattia Destro,FW,Genoa,30-360,9,1
Gerard Deulofeu,"FW,MF",Udinese,28-002,8,2
Kiernan Dewsbury Hall,MF,Leicester City,23-190,0,2
Jacopo Dezi,MF,Venezia,30-033,0,0
Samuel Di Carmine,FW,Hellas Verona,33-176,0,0
Federico Di Francesco,"FW,MF",Empoli,27-274,4,0
Giovanni Di Lorenzo,DF,Napoli,28-223,1,2
Ángel Di María,FW,Paris S-G,34-029,3,3
Francesco Di Mariano,FW,Venezia,25-329,0,0
Francesco Di Tacchio,MF,Salernitana,31-329,0,0
Boulaye Dia,FW,Villarreal,25-119,5,4
Moussa Diaby,FW,Leverkusen,22-251,12,7
Yadaly Diaby,"FW,MF",Clermont Foot,21-218,0,0
Mouctar Diakhaby,DF,Valencia,25-086,0,1
Ibrahim Diakité,MF,Reims,18-135,0,0
Abdou Diallo,DF,Paris S-G,25-315,0,1
Habib Diallo,FW,Strasbourg,26-270,9,1
Ibrahima Diallo,MF,Southampton,23-007,0,2
Mouhamadou Diarra,MF,Strasbourg,18-071,0,0
Stéphane Diarra,"FW,MF",Lorient,23-096,0,0
Raphael Dias Belloli,"MF,FW",Leeds United,25-091,9,3
Rúben Dias,DF,Manchester City,24-305,2,3
Krepin Diatta,"MF,DF",Monaco,23-018,1,0
Amadou Diawara,MF,Roma,24-241,0,0
Brahim Díaz,MF,Milan,22-224,3,3
Javier Díaz,GK,Sevilla,24-304,0,0
Luis Díaz,FW,Liverpool,25-061,2,0
Víctor Díaz,DF,Granada,33-276,0,0
Daniel Didavi,"FW,MF",Stuttgart,32-022,0,1
Bamba Dieng,"FW,MF",Marseille,21-357,4,0
Eric Dier,DF,Tottenham,28-059,0,0
Elhadji Dieye,"MF,FW",Saint-Étienne,19-283,0,0
Lucas Digne,DF,Aston Villa,28-238,0,1
Virgil van Dijk,DF,Liverpool,30-250,3,1
Mitchell Dijks,DF,Bologna,29-034,0,0
Javairô Dilrosun,"FW,MF",Bordeaux,23-266,0,3
Federico Dimarco,DF,Inter,24-125,2,2
Landry Dimata,"FW,MF",Espanyol,24-195,0,0
Stole Dimitrievski,GK,Rayo Vallecano,28-080,0,0
Junior Dina Ebimbe,MF,Paris S-G,21-114,0,0
Tristan Dingomé,"MF,FW",Troyes,31-026,2,4
Sinaly Diomande,DF,Lyon,20-340,0,0
Issa Diop,DF,West Ham,25-065,0,1
Sofiane Diop,"MF,FW",Monaco,21-279,6,4
Andy Diouf,MF,Rennes,19-302,0,0
Assane Dioussé,MF,Saint-Étienne,24-176,0,0
Axel Disasi,DF,Monaco,24-004,1,0
Filippo Distefano,FW,Fiorentina,18-199,0,0
Matías Dituro,GK,Celta Vigo,34-311,0,0
Tiago Djaló,DF,Lille,21-340,1,1
Djené,DF,Getafe,30-074,0,0
Moussa Djenepo,MF,Southampton,23-273,0,0
Koffi Djidji,DF,Torino,29-105,0,0
Alexander Djiku,DF,Strasbourg,27-218,1,0
Bryan Djile Nokoué,"DF,MF",Saint-Étienne,19-296,0,0
Berat Djimsiti,DF,Atalanta,29-024,0,1
Ouparine Djoco,GK,Clermont Foot,23-327,0,0
Naïs Djouahra,"FW,MF",Real Sociedad,22-112,0,0
Marko Dmitrović,GK,Sevilla,30-050,0,0
Lewis Dobbin,"FW,MF",Everton,19-071,0,0
Matt Doherty,DF,Tottenham,30-058,1,4
Jeremy Doku,"MF,FW",Rennes,19-292,1,2
Kasper Dolberg,FW,Nice,24-160,6,1
Jaume Doménech,GK,Valencia,31-130,0,0
Brandon Domingues,"MF,FW",Troyes,21-282,1,0
Carlos Dominguez,DF,Celta Vigo,21-073,0,0
Nicolás Domínguez,MF,Bologna,23-260,0,2
Lee Dongjun,MF,Hertha BSC,25-042,0,0
Anastasios Donis,"FW,MF",Reims,25-198,0,0
Gianluigi Donnarumma,GK,Paris S-G,23-018,0,0
Niklas Dorsch,MF,Augsburg,24-059,1,0
Gabriel Dos Santos,DF,Arsenal,24-086,3,0
Jodel Dossou,FW,Clermont Foot,29-363,1,1
Lucas Douath,MF,Saint-Étienne,18-222,0,0
Abdoulaye Doucouré,MF,Everton,29-073,2,4
Cheick Doucouré,MF,Lens,22-066,0,3
Fodé Doucouré,DF,Reims,21-040,0,0
Kamory Doumbia,"MF,FW",Reims,19-025,0,0
Moussa Doumbia,"FW,DF",Reims,27-212,0,0
Souleyman Doumbia,DF,Angers,25-172,0,0
Kieran Dowell,"FW,MF",Norwich City,24-156,0,0
Bartłomiej Drągowski,GK,Fiorentina,24-208,0,0
Radu Drăgușin,DF,Sampdoria,20-040,0,0
Cody Drameh,DF,Leeds United,20-097,0,0
Julian Draxler,"FW,MF",Paris S-G,28-176,2,1
Matthieu Dreyer,GK,Lorient,32-360,0,0
Domingos Duarte,DF,Granada,27-005,1,0
Óscar Duarte,DF,Levante,32-285,0,0
Rubén Duarte,DF,Alavés,26-148,0,3
Leo Dubois,DF,Lyon,27-182,0,0
Martin Dúbravka,GK,Newcastle Utd,33-059,0,0
Ondrej Duda,MF,Köln,27-100,2,0
Jeremy Dudziak,"MF,FW",Greuther Fürth,26-199,2,0
Shane Duffy,DF,Brighton,30-073,1,0
Unai Dufur,DF,Osasuna,23-073,0,0
Denzel Dumfries,DF,Inter,25-331,3,3
Paul Dummett,DF,Newcastle Utd,30-170,0,0
Alfred Duncan,MF,Fiorentina,29-005,1,2
Lewis Dunk,DF,Brighton,30-114,1,0
Erik Durm,DF,Eint Frankfurt,29-307,0,1
Hugo Duro,"DF,MF",Getafe,22-125,6,1
Jean-Kevin Duverne,DF,Brest,24-246,0,2
Paulo Dybala,"FW,MF",Juventus,28-120,7,5
Edin Džeko,FW,Inter,35-363,12,5
Enzo Ebosse,DF,Angers,23-004,0,0
Tyronne Ebuehi,DF,Venezia,26-089,0,0
Ederson,GK,Manchester City,28-210,0,0
Éderson,MF,Salernitana,22-251,0,0
Odsonne Édouard,FW,Crystal Palace,24-058,6,3
Maximilian Eggestein,MF,Freiburg,25-097,1,1
Lilian Egloff,"FW,MF",Stuttgart,19-207,0,0
Kingsley Ehizibue,DF,Köln,26-294,0,1
Albin Ekdal,MF,Sampdoria,32-230,1,0
Hugo Ekitike,FW,Reims,19-268,9,2
Jurgen Ekkelenkamp,"MF,FW",Hertha BSC,21-344,3,0
Caleb Ekuban,"FW,MF",Genoa,27-357,1,1
Anthony Elanga,FW,Manchester Utd,19-322,2,0
Alberth Elis,"FW,MF",Bordeaux,26-031,9,1
Harvey Elliott,MF,Liverpool,18-345,0,0
Elif Elmas,"FW,MF",Napoli,22-172,2,2
Mohamed Elneny,MF,Arsenal,29-247,0,1
Aritz Elustondo,DF,Real Sociedad,27-352,4,1
Nico Elvedi,DF,M'Gladbach,25-166,1,0
Sepe Elye Wahi,"FW,MF",Montpellier,19-072,7,1
Mohamed Elyounoussi,MF,Southampton,27-223,4,1
Adri Embarba,"MF,FW",Espanyol,29-312,0,2
Breel Embolo,FW,M'Gladbach,25-029,3,2
Emerson,DF,Barcelona,23-060,0,1
Renaud Emond,"MF,FW",Nantes,30-100,0,0
Youssef En-Nesyri,FW,Sevilla,24-287,3,1
Keita Endo,"MF,FW",Union Berlin,24-113,0,0
Wataru Endo,MF,Stuttgart,29-034,3,2
Christian Eriksen,MF,Brentford,30-029,0,1
Martin Erlic,DF,Spezia,24-050,2,0
Gonzalo Escalante,MF,Lazio,28-353,1,0
Aarón Escandell,GK,Granada,26-169,0,0
Sergio Escudero,"DF,MF",Granada,32-194,0,1
Alfonso Espino,DF,Cádiz,30-069,2,2
Michael Esser,GK,Bochum,34-113,0,0
Estanis,FW,Barcelona,18-203,0,0
Maxime Estève,DF,Montpellier,19-293,0,0
Pervis Estupiñán,DF,Villarreal,24-053,0,1
Oghenekaro Etebo,MF,Watford,26-126,0,0
Jonny Evans,DF,Leicester City,34-071,1,1
Eberechi Eze,"MF,FW",Crystal Palace,23-259,0,0
Abdessamad Ezzalzouli,"FW,DF",Barcelona,20-088,1,0
Łukasz Fabiański,GK,West Ham,36-331,0,0
Fabinho,MF,Liverpool,28-143,4,1
Fábio,DF,Nantes,31-249,0,1
Cesc Fàbregas,MF,Monaco,34-315,0,0
Wout Faes,DF,Reims,23-346,4,0
Wahidullah Faghir,FW,Stuttgart,18-229,1,0
Romain Faivre,FW,Lyon,23-244,9,5
Radamel Falcao,FW,Rayo Vallecano,36-033,5,0
Diego Falcinelli,"FW,MF",Bologna,30-262,0,0
Wladimiro Falcone,GK,Sampdoria,26-337,0,0
Fali,"DF,MF",Cádiz,28-215,0,2
Paolo Faragò,MF,Cagliari,29-031,0,0
Davide Faraoni,DF,Hellas Verona,30-141,3,5
Mohamed Fares,"DF,FW",Genoa,26-028,2,1
Diego Farias,"MF,FW",Cagliari,31-309,0,0
Wuilker Faríñez,GK,Lens,24-028,0,0
Ömer Faruk Beyaz,"FW,DF",Stuttgart,18-198,0,0
Noah Fatar,"DF,MF",Angers,20-028,0,0
Ansu Fati,FW,Barcelona,19-135,3,0
Julien Faussurier,"DF,FW",Brest,35-060,0,0
Andrea Favilli,FW,Genoa,24-302,0,0
Federico Fazio,DF,Salernitana,34-363,0,0
Aleix Febas,MF,Mallorca,26-041,0,0
Adrian Fein,MF,Greuther Fürth,22-362,0,0
Nabil Fekir,MF,Betis,28-240,6,6
Felipe,DF,Atlético Madrid,32-303,2,1
Luiz Felipe,DF,Lazio,24-358,0,0
Ohis Felix Uduokhai,DF,Augsburg,24-187,0,0
João Félix,"FW,MF",Atlético Madrid,22-125,6,3
Kiko Femenía,DF,Watford,31-041,0,5
Evan Ferguson,MF,Brighton,17-147,0,0
Nathan Ferguson,DF,Crystal Palace,21-160,0,0
Bruno Fernandes,MF,Manchester Utd,27-188,9,6
Edimilson Fernandes,"DF,FW",Arminia,25-334,0,0
Aitor Fernández,GK,Levante,30-316,0,0
Álex Fernández,MF,Cádiz,29-151,3,1
Álvaro Fernández,GK,Brentford,23-336,0,0
Federico Fernández,DF,Newcastle Utd,33-022,0,0
Fernandinho,MF,Manchester City,36-315,1,1
Fernando,"MF,DF",Sevilla,34-233,1,1
Alex Ferrari,DF,Sampdoria,27-257,0,0
Salvador Ferrer,"DF,MF",Spezia,24-053,0,0
Jordan Ferri,MF,Montpellier,30-003,0,1
Riccardo Fiamozzi,DF,Empoli,28-301,0,0
Fidel,MF,Elche,32-139,5,3
Karol Fila,DF,Strasbourg,23-275,0,0
Alfreð Finnbogason,"FW,MF",Augsburg,33-042,2,1
Luca Fiordilino,MF,Venezia,25-233,0,0
Vincenzo Fiorillo,GK,Salernitana,32-061,0,0
Roberto Firmino,FW,Liverpool,30-164,4,3
Junior Firpo,DF,Leeds United,25-205,0,1
Mark Flekken,GK,Freiburg,28-275,0,0
Ashley Fletcher,FW,Watford,26-164,0,0
Alexis Flips,"MF,FW",Reims,22-056,2,4
Alessandro Florenzi,"DF,FW",Milan,31-004,1,0
Phil Foden,FW,Manchester City,21-291,7,3
Mamadou Fofana,DF,Metz,24-053,0,0
Seko Fofana,MF,Lens,26-312,7,0
Youssouf Fofana,MF,Monaco,23-064,0,3
Thomas Foket,DF,Reims,27-171,1,0
Thomas Fontaine,DF,Lorient,30-311,0,0
José Fontán,DF,Celta Vigo,22-032,0,0
José Fonte,DF,Lille,38-083,0,2
Fernando Forestieri,"FW,MF",Udinese,32-059,2,1
Pablo Fornals,"FW,MF",West Ham,26-021,6,2
Emil Forsberg,"MF,FW",RB Leipzig,30-143,5,2
Adam Forshaw,MF,Leeds United,30-158,0,1
Marcus Forss,"FW,MF",Brentford,22-270,0,1
Fraser Forster,GK,Southampton,33-363,0,0
Philipp Förster,"FW,MF",Stuttgart,27-039,2,1
Francesco Forte,FW,Venezia,28-318,1,0
Steven Fortes,DF,Lens,29-332,0,0
Ben Foster,GK,Watford,38-346,0,1
Timothy Fosu-Mensah,DF,Leverkusen,24-072,0,0
Dimitri Foulquier,DF,Granada,28-357,0,1
Juan Foyth,DF,Villarreal,24-062,0,0
Raphael Framberger,"DF,MF",Augsburg,26-190,0,0
Przemysław Frankowski,DF,Lens,26-337,4,4
Enric Franquesa,DF,Levante,25-017,0,0
Fransérgio,MF,Bordeaux,31-148,0,1
Ryan Fraser,"FW,MF",Newcastle Utd,28-019,2,3
Davide Frattesi,MF,Sassuolo,22-144,4,1
Fred,MF,Manchester Utd,29-010,3,4
Ryan Fredericks,DF,West Ham,29-156,0,0
Morten Frendrup,DF,Genoa,20-342,0,0
Remo Freuler,MF,Atalanta,29-334,1,3
Marvin Friedrich,DF,M'Gladbach,26-092,0,0
Jeremie Frimpong,DF,Leverkusen,21-095,1,6
Jorge de Frutos,"MF,FW",Levante,25-023,4,7
Leo Fuhr Hjelde,DF,Leeds United,18-201,0,0
Chris Führich,"FW,MF",Stuttgart,24-065,2,1
Angelo Fulgini,"MF,FW",Angers,25-207,5,3
Marius Funk,GK,Greuther Fürth,26-073,0,0
Stephan Fürstner,MF,Mainz 05,34-185,0,0
Matteo Gabbia,DF,Milan,22-145,0,0
Manolo Gabbiadini,"FW,MF",Sampdoria,30-109,6,1
Mijat Gaćinović,"FW,DF",Hoffenheim,27-035,0,0
Gianluca Gaetano,MF,Napoli,21-314,0,0
Luca Gagliano,"MF,DF",Cagliari,21-244,0,0
Roberto Gagliardini,MF,Inter,27-342,2,1
Riccardo Gagliolo,DF,Salernitana,31-321,0,1
Javi Galán,DF,Celta Vigo,27-116,0,2
Iñigo Ruiz de Galarreta,MF,Mallorca,28-221,0,0
Nicolas Galazzi,DF,Venezia,21-087,0,0
Pablo Galdames Millán,MF,Genoa,25-075,0,0
Thiago Galhardo,"FW,MF",Celta Vigo,32-238,1,1
Conor Gallagher,MF,Crystal Palace,22-037,8,3
Gauthier Gallon,GK,Troyes,28-326,0,0
Cristian Gamboa,DF,Bochum,32-142,1,0
Kévin Gameiro,FW,Strasbourg,34-310,9,2
Idrissa Gana Gueye,MF,Paris S-G,32-170,3,0
Ignatius Ganago,FW,Lens,23-027,3,0
Silvère Ganvoula M'Boussy,FW,Bochum,25-266,0,0
Álvaro García,"FW,MF",Rayo Vallecano,29-139,5,2
Dani García,MF,Athletic Club,31-295,0,0
David García,DF,Osasuna,28-029,4,0
Eric García,DF,Barcelona,21-065,0,0
Francisco Garcia,DF,Rayo Vallecano,22-213,1,0
Joan García,GK,Espanyol,20-315,0,0
Manu García,MF,Alavés,24-072,0,0
Raúl García,FW,Athletic Club,35-247,4,1
Rubén García,"MF,FW",Osasuna,28-244,1,3
Saúl García,FW,Alavés,27-126,0,0
Unai García,DF,Osasuna,30-040,0,0
Mario Gaspar,DF,Villarreal,31-111,0,0
Johan Gastien,MF,Clermont Foot,34-049,0,1
Dwight Gayle,FW,Newcastle Utd,31-149,0,0
Jean-Philippe Gbamin,MF,Everton,26-171,0,0
David de Gea,GK,Manchester Utd,31-128,0,0
Linus Gechter,DF,Hertha BSC,18-016,1,0
Dennis Geiger,MF,Hoffenheim,23-278,2,2
Joe Gelhardt,"FW,MF",Leeds United,19-315,2,1
Luca Gemello,GK,Torino,21-255,0,0
Yannick Gerhardt,"MF,DF",Wolfsburg,28-002,0,0
Valère Germain,FW,Montpellier,31-332,4,2
Gerson,"MF,FW",Marseille,24-299,5,2
Willem Geubbels,"MF,FW",Nantes,20-211,2,1
Hamadi Al Ghaddioui,FW,Stuttgart,31-174,2,2
Anwar El Ghazi,FW,Everton,26-316,1,1
Lamine Ghezali,DF,Saint-Étienne,22-252,0,0
Paolo Ghiglione,DF,Genoa,25-041,0,1
Saman Ghoddos,"MF,DF",Brentford,28-190,1,1
Faouzi Ghoulam,DF,Napoli,31-042,0,0
Dimitris Giannoulis,DF,Norwich City,26-149,0,1
Morgan Gibbs-White,"FW,MF",Wolves,22-047,0,0
Ben Gibson,DF,Norwich City,29-059,0,0
Niko Gießelmann,DF,Union Berlin,30-170,3,5
Rafał Gikiewicz,GK,Augsburg,34-140,0,0
Óscar Gil,DF,Espanyol,24-323,0,2
Billy Gilmour,MF,Norwich City,20-277,0,1
Daniel Ginczek,"MF,FW",Wolfsburg,30-336,0,0
Matthias Ginter,DF,M'Gladbach,28-055,1,0
Nicholas Gioacchini,"MF,FW",Montpellier,21-233,0,2
Sebastian Giovinco,MF,Sampdoria,35-048,0,0
Jimmy Giraudon,DF,Troyes,30-058,0,0
Andrei Girotto,"DF,MF",Nantes,30-026,5,1
Olivier Giroud,FW,Milan,35-166,8,2
Serge Gnabry,"FW,DF",Bayern Munich,26-244,10,4
Ben Godfrey,DF,Everton,24-059,0,0
Diego Godín,DF,Cagliari,36-027,0,1
Edoardo Goldaniga,DF,Cagliari,28-133,0,0
Aleksandr Golovin,"FW,MF",Monaco,25-289,2,2
André Gomes,MF,Everton,28-228,0,1
Angel Gomes,"MF,FW",Lille,21-196,0,0
Toti Gomes,DF,Wolves,23-058,0,0
Dani Gómez,FW,Levante,23-228,3,2
Joe Gomez,DF,Liverpool,24-296,0,0
Maxi Gómez,FW,Valencia,25-213,3,1
Moi Gómez,"MF,FW",Villarreal,27-265,1,2
Papu Gómez,"FW,MF",Sevilla,34-028,4,1
Sergi Gómez,DF,Espanyol,29-352,1,2
Alfred Gomis,GK,Rennes,28-191,0,0
Maxime Gonalons,MF,Granada,33-005,0,1
Vagner Gonçalves,"MF,FW",Metz,26-064,0,0
Cedric Gondo,FW,Salernitana,25-110,1,0
Álvaro González,DF,Marseille,32-066,0,0
Diego González,DF,Elche,27-046,0,0
Édgar González,DF,Betis,24-348,1,1
Giovanni González,DF,Mallorca,27-176,1,0
Nicolás González,MF,Barcelona,20-071,4,5
Peter González,"DF,FW",Real Madrid,19-233,0,0
Roberto González,"FW,MF",Betis,21-068,0,0
Charlie Goode,DF,Brentford,26-224,0,0
Anthony Gordon,"MF,FW",Everton,21-019,3,2
Kaide Gordon,FW,Liverpool,17-161,0,0
Leon Goretzka,MF,Bayern Munich,27-037,2,2
Gori,MF,Espanyol,19-304,0,0
Andoni Gorosabel,DF,Real Sociedad,25-223,0,1
Robin Gosens,DF,Atalanta,27-253,1,1
Dan Gosling,MF,Watford,32-042,0,0
Amine Gouiri,"FW,MF",Nice,22-027,10,7
Jeffrey Gouweleeuw,DF,Augsburg,30-248,1,0
Jonathan Gradit,DF,Lens,29-111,0,0
Alberto Grassi,MF,Cagliari,27-008,0,1
Jaume Grau,MF,Osasuna,24-314,0,0
Andrew Gravillon,DF,Reims,24-035,0,0
Demarai Gray,"MF,FW",Everton,25-260,5,2
Adrian Grbić,"FW,MF",Lorient,25-223,1,0
Ivo Grbić,GK,Lille,26-056,0,0
Jack Grealish,FW,Manchester City,26-186,2,2
Etienne Green,GK,Saint-Étienne,21-239,0,0
Julian Green,MF,Greuther Fürth,26-282,0,0
Mason Greenwood,"FW,MF",Manchester Utd,20-165,5,1
Sam Greenwood,MF,Leeds United,20-048,0,0
Michael Gregoritsch,"FW,MF",Augsburg,27-331,6,0
Dominik Greif,GK,Mallorca,24-343,0,0
Clément Grenier,MF,Mallorca,31-067,0,0
Sebastian Griesbeck,"DF,MF",Greuther Fürth,31-163,1,0
Antoine Griezmann,FW,Barcelona,30-359,3,2
Vincenzo Grifo,"MF,FW",Freiburg,28-342,7,6
Lennart Grill,GK,Leverkusen,23-049,0,0
Florian Grillitsch,"DF,MF",Hoffenheim,26-220,0,0
Arnaut Groeneveld,FW,Villarreal,25-043,8,3
Pascal Groß,"MF,DF",Brighton,30-273,0,3
Carlos Gruezo,MF,Augsburg,26-330,0,0
Vicente Guaita,GK,Crystal Palace,35-064,0,0
Andrés Guardado,MF,Betis,35-168,0,1
Sergi Guardiola,FW,Rayo Vallecano,30-290,3,2
Nemanja Gudelj,"DF,MF",Sevilla,30-119,0,0
Gabriel Gudmundsson,"DF,MF",Lille,22-320,1,0
Noah Guede-Nadje,FW,Angers,18-123,0,0
Gonçalo Guedes,"FW,MF",Valencia,25-106,10,5
Marc Guéhi,DF,Crystal Palace,21-245,2,0
Mattéo Guendouzi,MF,Marseille,22-335,3,5
Yanis Guermouche,FW,Montpellier,20-334,0,0
Raphaël Guerreiro,DF,Dortmund,28-083,4,2
Evann Guessand,FW,Nice,20-257,1,1
Ander Guevara,MF,Real Sociedad,24-251,0,0
Lamine Gueye,"MF,FW",Metz,24-002,0,3
Pape Gueye,"MF,DF",Marseille,23-050,0,1
John Guidetti,"FW,MF",Alavés,29-334,0,0
Josuha Guilavogui,MF,Bordeaux,31-177,1,0
Frederic Guilbert,DF,Strasbourg,27-081,0,4
Hugo Guillamón,"MF,DF",Valencia,22-043,1,0
Bruno Guimarães,MF,Newcastle Utd,24-119,1,3
Sehrou Guirassy,FW,Rennes,26-003,5,0
Péter Gulácsi,GK,RB Leipzig,31-313,0,0
Manuel Gulde,DF,Freiburg,31-031,0,0
Gerard Gumbau,MF,Elche,27-087,0,2
Robert Gumny,DF,Augsburg,23-284,0,0
İlkay Gündoğan,MF,Manchester City,31-142,5,4
Angus Gunn,GK,Norwich City,26-052,0,0
Christian Günter,DF,Freiburg,29-015,0,5
Koray Günter,DF,Hellas Verona,27-211,0,0
Lasse Günther,DF,Augsburg,18-359,0,0
Jon Guridi,MF,Real Sociedad,27-015,0,0
Malo Gusto,DF,Lyon,18-300,0,1
Raúl Guti,MF,Elche,25-075,0,0
Marcos Mauro López Gutiérrez,DF,Cádiz,31-065,0,0
Miguel Gutiérrez,DF,Real Madrid,20-231,0,1
Albert Guðmundsson,"FW,MF",Genoa,24-273,0,0
Joško Gvardiol,DF,RB Leipzig,20-051,2,2
Emmanuel Gyasi,"FW,MF",Spezia,28-063,4,0
Norbert Gyömbér,DF,Salernitana,29-255,0,0
Erling Haaland,FW,Dortmund,21-237,16,6
Nicolas Haas,MF,Empoli,26-051,0,2
Janik Haberer,MF,Freiburg,27-347,2,0
Alexander Hack,DF,Mainz 05,28-188,3,0
Robin Hack,"MF,FW",Arminia,23-200,0,1
