1_Player,3_Pos,4_Squad,6_Age,Performance_Gls,Performance_Ast
Maximilian Arnold,MF,Wolfsburg,27-292,3,1
Kepa Arrizabalaga,GK,Chelsea,27-163,0,0
Tolgay Arslan,MF,Udinese,31-211,1,0
Arthur,FW,Fiorentina,23-324,1,1
Santiago Arzamendia,"MF,DF",Cádiz,23-314,1,0
Takuma Asano,"FW,MF",Bochum,27-125,1,1
Santiago Ascacíbar,MF,Hertha BSC,25-018,0,1
Sergio Asenjo,GK,Villarreal,32-260,0,0
Marco Asensio,"FW,MF",Real Madrid,26-053,8,0
Harrison Ashby,DF,West Ham,20-121,0,0
Kristoffer Askildsen,MF,Sampdoria,21-065,0,0
Fisnik Asllani,"MF,FW",Hoffenheim,19-219,0,0
Kristjan Asllani,MF,Empoli,20-006,0,0
Iago Aspas,FW,Celta Vigo,34-226,13,4
Lorenz Assignon,DF,Rennes,21-266,0,0
Simon Asta,DF,Greuther Fürth,21-049,0,0
Youcef Atal,DF,Nice,25-302,2,0
Pierre-Emerick Aubameyang,FW,Arsenal,32-270,9,1
Emil Audero,GK,Sampdoria,25-056,0,0
Tommaso Augello,DF,Sampdoria,27-197,1,0
Jean-Kévin Augustin,"FW,MF",Nantes,24-272,0,0
Ludwig Augustinsson,DF,Sevilla,27-328,0,1
Serge Aurier,DF,Villarreal,29-081,0,1
Ezequiel Ávila,"FW,MF",Osasuna,28-037,4,1
Taiwo Awoniyi,FW,Union Berlin,24-215,11,0
Ramzi Aya,DF,Salernitana,31-225,0,0
Jordan Ayew,FW,Crystal Palace,30-185,1,3
Kaan Ayhan,DF,Sassuolo,27-125,0,0
Luke Ayling,DF,Leeds United,30-202,1,2
Karim Azamoum,DF,Troyes,32-057,0,0
Sardar Azmoun,FW,Leverkusen,27-073,0,0
César Azpilicueta,DF,Chelsea,32-199,0,2
Iddrisu Baba,MF,Mallorca,26-052,2,0
Carlos Bacca,FW,Granada,35-188,0,1
Daniel Bachmann,GK,Watford,27-249,0,0
Loïc Bade,DF,Rennes,21-338,0,1
Milan Badelj,MF,Genoa,33-018,0,0
Édgar Badía,GK,Elche,30-031,0,0
Benoît Badiashile,DF,Monaco,20-354,0,0
Youssouph Badji,FW,Brest,20-085,0,0
Miguel Baeza,DF,Celta Vigo,21-353,0,0
Stéphane Bahoken,FW,Angers,29-291,2,0
Leon Bailey,"FW,MF",Aston Villa,24-218,1,2
Eric Bailly,DF,Manchester Utd,27-337,0,0
Dénys Bain,DF,Brest,28-256,0,0
Stefan Bajic,GK,Saint-Étienne,20-082,0,0
Nedim Bajrami,"MF,FW",Empoli,23-015,6,3
Cédric Bakambu,FW,Marseille,30-338,2,0
Abdoulaye Bakayoko,DF,Saint-Étienne,19-090,0,0
Tiemoué Bakayoko,MF,Milan,27-210,0,0
Mitchel Bakker,DF,Leverkusen,21-268,0,3
Ridle Baku,"DF,FW",Wolfsburg,23-341,2,3
Dilane Bakwa,FW,Bordeaux,19-201,0,0
Alejandro Balde,"FW,DF",Barcelona,18-148,0,0
Ibrahima Baldé,"FW,MF",Lens,19-057,0,0
Keita Baldé,"FW,MF",Cagliari,27-007,3,1
Gareth Bale,FW,Real Madrid,32-242,1,0
Mikel Balenziaga,DF,Athletic Club,34-014,0,0
Leonardo Balerdi,DF,Marseille,23-048,0,0
Iván Balliu,DF,Rayo Vallecano,30-073,1,2
Fodé Ballo-Touré,DF,Milan,25-071,0,0
Folarin Balogun,FW,Arsenal,20-255,0,0
Jonathan Bamba,"MF,FW",Lille,25-354,1,1
Patrick Bamford,FW,Leeds United,28-191,2,2
Filippo Bandinelli,MF,Empoli,26-351,2,1
Mattia Bani,DF,Genoa,28-095,0,0
Simon Banza,FW,Lens,25-214,1,1
Shandon Baptiste,MF,Brentford,23-341,1,1
Antonín Barák,"MF,FW",Hellas Verona,27-102,10,3
Barbero,"FW,MF",Osasuna,23-210,0,0
Danilo Barbosa,DF,Nice,26-015,0,0
Bradley Barcola,"MF,FW",Lyon,19-194,0,0
Melvin Bard,DF,Nice,21-129,1,2
Enis Bardhi,"MF,FW",Levante,26-256,3,2
Keidi Bare,MF,Espanyol,24-199,1,1
Nicolò Barella,MF,Inter,25-036,2,9
Kike Barja,"MF,FW",Osasuna,24-348,1,0
Ross Barkley,MF,Chelsea,28-100,0,0
Aymen Barkok,"FW,MF",Eint Frankfurt,23-298,0,0
Ashley Barnes,FW,Burnley,32-136,0,0
Harvey Barnes,"FW,MF",Leicester City,24-096,3,5
Antonio Barragán,DF,Elche,34-276,0,0
Leandro Barreiro Martins,MF,Mainz 05,22-071,0,2
Ander Barrenetxea,"FW,MF",Real Sociedad,20-078,1,1
Jacob Barrett Laursen,DF,Arminia,27-118,2,0
Musa Barrow,"FW,MF",Bologna,23-121,5,4
Abdourahmane Barry,DF,Greuther Fürth,22-022,0,0
Marc Bartra,DF,Betis,31-059,0,0
Daniele Baselli,"MF,FW",Torino,30-003,0,0
Toma Bašić,MF,Bordeaux,25-110,0,3
Amine Bassi,MF,Metz,24-108,0,0
Álvaro Bastida,MF,Cádiz,17-307,0,0
Alessandro Bastoni,DF,Inter,22-336,1,1
Simone Bastoni,"DF,MF",Spezia,25-130,3,1
Lewis Bate,MF,Leeds United,19-137,0,0
Rodrigo Battaglia,MF,Mallorca,30-246,0,0
Maximilian Bauer,DF,Greuther Fürth,22-034,0,0
Oliver Baumann,GK,Hoffenheim,31-286,0,0
Timo Baumgartl,DF,Union Berlin,26-011,1,1
Julian Baumgartlinger,MF,Leverkusen,34-072,0,0
Christoph Baumgartner,"MF,FW",Hoffenheim,22-226,6,1
Jon Bautista,"FW,MF",Real Sociedad,26-255,0,0
Mohamed Bayo,FW,Clermont Foot,23-284,10,2
Noah Joel Sarenren Bazee,"MF,FW",Augsburg,25-206,1,0
Bebé,"FW,MF",Rayo Vallecano,31-246,1,2
Ihlas Bebou,"FW,DF",Hoffenheim,27-326,7,2
Rodrigo Becão,DF,Udinese,26-055,0,1
Mads Bech Sørensen,DF,Brentford,23-067,0,0
Sheraldo Becker,"FW,MF",Union Berlin,27-034,2,3
Jan Bednarek,DF,Southampton,25-337,3,0
Donny van de Beek,MF,Manchester Utd,24-331,1,0
Asmir Begović,GK,Everton,34-268,0,0
Valon Behrami,MF,Genoa,36-330,0,0
Kevin Behrens,FW,Union Berlin,31-040,1,2
Youcef Belaïli,MF,Brest,30-001,0,1
Vid Belec,GK,Salernitana,31-282,0,0
Ishak Belfodil,FW,Hertha BSC,30-062,2,2
Haris Belkebla,MF,Brest,28-046,0,0
Stefan Bell,DF,Mainz 05,30-203,1,0
Armel Bella Kotchap,DF,Bochum,20-094,0,0
Raoul Bellanova,DF,Cagliari,21-271,1,2
Karim Bellarabi,"FW,MF",Leverkusen,31-341,2,2
Jean-Ricner Bellegarde,MF,Strasbourg,23-261,2,2
Héctor Bellerín,DF,Betis,26-361,0,2
Jude Bellingham,MF,Dortmund,18-259,3,6
George Bello,"DF,MF",Arminia,20-052,0,0
Andrea Belotti,FW,Torino,28-085,4,1
Fran Beltrán,MF,Celta Vigo,23-040,0,0
Hatem Ben Arfa,"FW,MF",Lille,35-008,0,1
Wissam Ben Yedder,FW,Monaco,31-215,15,4
Marco Benassi,"DF,MF",Fiorentina,27-188,0,0
Darío Benedetto,"FW,MF",Marseille,31-302,2,1
László Bénes,MF,M'Gladbach,24-187,0,0
Walter Benítez,GK,Nice,28-361,0,0
Iker Benito,"MF,FW",Osasuna,19-217,0,0
Loris Benito,DF,Bordeaux,30-067,0,0
Pedro Benito,FW,Cádiz,21-353,0,0
Ismaël Bennacer,MF,Milan,24-104,1,1
Keanan Bennetts,"FW,DF",M'Gladbach,23-006,0,0
Saïd Benrahma,"FW,MF",West Ham,26-217,5,6
Ramy Bensebaini,DF,M'Gladbach,26-333,3,1
Nabil Bentaleb,MF,Angers,27-111,1,0
Rodrigo Bentancur,MF,Tottenham,24-283,0,1
Christian Benteke,FW,Crystal Palace,31-102,4,1
