1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xA,Expected_npxG+xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,32_Matches
Lucas Pérez,es ESP,"FW,MF",Cádiz,33-186,1988,5,3,306,3.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.7,0.13,0.08,0.21,0.13,0.21,Matches
Njegoš Petrović,rs SRB,MF,Granada,22-240,1999,6,2,246,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.11,0.01,0.12,0.11,0.12,Matches
Alex Petxa,es ESP,"DF,MF",Athletic Club,25-037,1997,9,0,120,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Germán Pezzella,ar ARG,DF,Betis,30-261,1991,14,13,1188,13.2,1,0,1,0,0,4,1,0.08,0.00,0.08,0.08,0.08,0.5,0.5,0.0,0.5,0.04,0.00,0.04,0.04,0.04,Matches
Pablo Piatti,ar ARG,"MF,FW",Elche,32-349,1989,6,2,205,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.03,0.19,0.21,0.03,0.21,Matches
Cristiano Piccini,it ITA,DF,Valencia,29-170,1992,6,3,322,3.6,1,0,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,0.1,0.1,0.2,0.3,0.03,0.05,0.08,0.03,0.08,Matches
Tomás Pina Isla,es ESP,MF,Alavés,34-152,1987,22,14,1254,13.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.03,0.00,0.03,0.03,0.03,Matches
Orbelín Pineda,mx MEX,MF,Celta Vigo,25-356,1996,2,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,1.45,0.00,1.45,1.45,1.45,Matches
Yeremi Pino,es ESP,"MF,FW",Villarreal,19-146,2002,26,18,1440,16.0,6,4,6,0,0,2,0,0.37,0.25,0.62,0.37,0.62,5.6,5.6,2.8,8.4,0.35,0.18,0.52,0.35,0.52,Matches
Gerard Piqué,es ESP,DF,Barcelona,35-041,1987,23,21,1804,20.0,1,0,1,0,0,9,1,0.05,0.00,0.05,0.05,0.05,2.0,2.0,0.1,2.0,0.10,0.00,0.10,0.10,0.10,Matches
Ezequiel Ponce,ar ARG,FW,Elche,24-351,1997,4,1,154,1.7,1,0,1,0,0,1,0,0.58,0.00,0.58,0.58,0.58,1.5,1.5,0.2,1.7,0.88,0.13,1.01,0.88,1.01,Matches
Pere Pons,es ESP,MF,Alavés,29-023,1993,20,14,1122,12.5,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,2.0,2.0,0.6,2.5,0.16,0.05,0.20,0.16,0.20,Matches
Portu,es ESP,"FW,MF",Real Sociedad,29-298,1992,27,14,1303,14.5,0,2,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,1.9,1.9,1.5,3.4,0.13,0.10,0.23,0.13,0.23,Matches
Sergio Postigo,es ESP,DF,Levante,33-131,1988,6,4,388,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.03,0.05,0.02,0.05,Matches
Darío Poveda,es ESP,"FW,MF",Getafe,25-002,1997,15,3,380,4.2,1,0,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,0.2,0.2,0.1,0.3,0.04,0.03,0.07,0.04,0.07,Matches
José Pozo,es ESP,MF,Rayo Vallecano,26-000,1996,5,0,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.5,0.16,0.43,0.60,0.16,0.60,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Abdón Prats,es ESP,FW,Mallorca,29-098,1992,18,4,434,4.8,1,0,1,0,0,3,0,0.21,0.00,0.21,0.21,0.21,1.6,1.6,0.2,1.7,0.32,0.04,0.36,0.32,0.36,Matches
Javi Puado,es ESP,"MF,FW",Espanyol,23-294,1998,21,17,1475,16.4,4,1,4,0,0,5,0,0.24,0.06,0.31,0.24,0.31,3.2,3.2,1.0,4.2,0.20,0.06,0.26,0.20,0.26,Matches
Pubill,es ESP,DF,Levante,18-268,2003,6,4,343,3.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.25,0.00,0.26,0.25,0.26,Matches
Antonio Puertas,es ESP,"MF,FW",Granada,30-022,1992,24,17,1579,17.5,4,1,4,0,0,3,0,0.23,0.06,0.28,0.23,0.28,2.8,2.8,0.7,3.5,0.16,0.04,0.20,0.16,0.20,Matches
Riqui Puig,es ESP,MF,Barcelona,22-214,1999,11,1,320,3.6,1,0,1,0,0,0,0,0.28,0.00,0.28,0.28,0.28,0.7,0.7,0.2,0.9,0.18,0.06,0.25,0.18,0.25,Matches
Yacine Qasmi,ma MAR,MF,Rayo Vallecano,31-071,1991,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Quini,es ESP,DF,Granada,32-172,1989,23,19,1595,17.7,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.1,1.5,0.02,0.06,0.08,0.02,0.08,Matches
Dani Raba,es ESP,MF,Granada,26-137,1995,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Dani Raba,es ESP,"MF,FW",Villarreal,26-137,1995,7,0,89,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.27,0.27,0.00,0.27,Matches
Uroš Račić,rs SRB,MF,Valencia,23-363,1998,19,8,762,8.5,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.7,0.04,0.04,0.09,0.04,0.09,Matches
Nemanja Radoja,rs SRB,MF,Levante,29-037,1993,11,9,649,7.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Rafinha,br BRA,"MF,FW",Real Sociedad,29-031,1993,7,4,397,4.4,1,0,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23,0.8,0.8,0.2,1.0,0.18,0.05,0.23,0.18,0.23,Matches
Antonio Raillo,es ESP,DF,Mallorca,30-158,1991,8,8,720,8.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.03,0.00,0.03,0.03,0.03,Matches
Ivan Rakitić,hr CRO,MF,Sevilla,34-005,1988,25,19,1609,17.9,3,3,2,1,2,5,0,0.17,0.17,0.34,0.11,0.28,3.3,1.8,1.6,3.3,0.18,0.09,0.27,0.10,0.19,Matches
Jonás Ramalho,es ESP,DF,Osasuna,28-278,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Sandro Ramírez,es ESP,FW,Getafe,26-249,1995,20,16,1163,12.9,3,0,3,0,0,6,0,0.23,0.00,0.23,0.23,0.23,2.6,2.6,0.8,3.4,0.20,0.06,0.26,0.20,0.26,Matches
Lluís Recasens,es ESP,DF,Espanyol,20-105,2001,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Manolo Reina,es ESP,GK,Mallorca,36-348,1985,18,18,1620,18.0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.02,0.02,0.00,0.02,Matches
Karim Rekik,nl NED,DF,Sevilla,27-103,1994,15,10,956,10.6,0,2,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,0.4,0.4,0.3,0.7,0.04,0.03,0.07,0.04,0.07,Matches
Álex Remiro,es ESP,GK,Real Sociedad,26-356,1995,25,25,2250,25.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Nico Ribaudo,es ESP,"MF,FW",Espanyol,20-338,2001,25,5,863,9.6,1,0,1,0,0,5,1,0.10,0.00,0.10,0.10,0.10,0.7,0.7,1.3,2.0,0.08,0.13,0.21,0.08,0.21,Matches
Diego Rico,es ESP,DF,Real Sociedad,29-020,1993,11,9,764,8.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.03,0.04,0.00,0.04,Matches
Sergio Rico,es ESP,GK,Mallorca,28-195,1993,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Luis Rioja,es ESP,"MF,FW",Alavés,28-150,1993,28,27,2341,26.0,1,2,1,0,0,3,0,0.04,0.08,0.12,0.04,0.12,2.8,2.8,2.8,5.6,0.11,0.11,0.22,0.11,0.22,Matches
Rober,es ESP,DF,Levante,27-027,1995,18,12,1214,13.5,1,0,1,0,0,4,1,0.07,0.00,0.07,0.07,0.07,0.9,0.9,0.2,1.1,0.07,0.01,0.08,0.07,0.08,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Sergi Roberto,es ESP,"MF,DF",Barcelona,30-036,1992,9,4,400,4.4,2,1,2,0,0,1,0,0.45,0.23,0.68,0.45,0.68,1.6,1.6,0.3,2.0,0.36,0.08,0.44,0.36,0.44,Matches
Rubén Rochina,es ESP,"MF,FW",Granada,30-357,1991,15,8,743,8.3,1,3,1,0,0,3,0,0.12,0.36,0.48,0.12,0.48,0.6,0.6,0.7,1.3,0.07,0.08,0.16,0.07,0.16,Matches
Enzo Roco,cl CHI,DF,Elche,29-211,1992,22,21,1854,20.6,1,0,1,0,0,9,0,0.05,0.00,0.05,0.05,0.05,1.0,1.0,0.1,1.1,0.05,0.00,0.05,0.05,0.05,Matches
Rodrigo,es ESP,FW,Betis,21-303,2000,16,9,755,8.4,1,1,1,0,0,0,0,0.12,0.12,0.24,0.12,0.24,1.2,1.2,1.2,2.4,0.15,0.14,0.28,0.15,0.28,Matches
Kévin Rodrigues,pt POR,"DF,FW",Rayo Vallecano,28-010,1994,9,3,268,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02,Matches
Óscar Rodríguez Arnaiz,es ESP,"MF,FW",Getafe,23-260,1998,8,4,427,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,0.9,0.13,0.06,0.19,0.13,0.19,Matches
Óscar Rodríguez Arnaiz,es ESP,"FW,MF",Sevilla,23-260,1998,11,4,417,4.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,1.2,2.1,0.18,0.26,0.44,0.18,0.44,Matches
Ángel Rodríguez,es ESP,"FW,MF",Mallorca,34-323,1987,21,14,1109,12.3,2,2,2,0,0,4,0,0.16,0.16,0.32,0.16,0.32,3.8,3.8,1.1,4.9,0.31,0.09,0.40,0.31,0.40,Matches
Dani Rodríguez,es ESP,"FW,MF",Mallorca,33-282,1988,26,26,2236,24.8,3,2,3,0,0,5,0,0.12,0.08,0.20,0.12,0.20,2.5,2.5,2.0,4.5,0.10,0.08,0.18,0.10,0.18,Matches
Guido Rodríguez,ar ARG,MF,Betis,27-337,1994,23,20,1719,19.1,1,2,1,0,0,8,1,0.05,0.10,0.16,0.05,0.16,0.8,0.8,0.3,1.1,0.04,0.02,0.06,0.04,0.06,Matches
Rodrygo,br BRA,FW,Real Madrid,21-065,2001,22,8,786,8.7,0,1,0,0,0,4,0,0.00,0.11,0.11,0.00,0.11,1.6,1.6,0.6,2.2,0.17,0.06,0.23,0.17,0.23,Matches
Leonardo Román,es ESP,GK,Mallorca,21-252,2000,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Iván Romero,es ESP,FW,Sevilla,20-339,2001,4,2,170,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.28,0.00,0.28,0.28,0.28,Matches
Rubén,es ESP,DF,Espanyol,21-039,2001,2,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Aitor Ruibal,es ESP,"FW,DF",Betis,25-358,1996,16,7,678,7.5,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.3,1.3,0.13,0.04,0.17,0.13,0.17,Matches
Isma Ruiz,es ESP,MF,Granada,21-029,2001,7,3,272,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.03,0.06,0.02,0.06,Matches
Víctor Ruiz,es ESP,DF,Betis,33-049,1989,16,15,1244,13.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.6,0.03,0.01,0.04,0.03,0.04,Matches
Gerónimo Rulli,ar ARG,GK,Villarreal,29-299,1992,25,25,2250,25.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Franco Russo,ar ARG,DF,Mallorca,27-141,1994,15,15,1300,14.4,1,0,1,0,0,5,1,0.07,0.00,0.07,0.07,0.07,0.2,0.2,0.0,0.2,0.01,0.00,0.01,0.01,0.01,Matches
Mathew Ryan,au AUS,GK,Real Sociedad,29-341,1992,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Youssouf Sabaly,sn SEN,DF,Betis,29-010,1993,3,3,270,3.0,0,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,0.0,0.0,0.1,0.1,0.01,0.04,0.04,0.01,0.04,Matches
Salvi,es ESP,MF,Cádiz,30-350,1991,20,16,1317,14.6,2,1,2,0,1,3,1,0.14,0.07,0.21,0.14,0.21,3.0,2.2,1.4,3.6,0.20,0.09,0.30,0.15,0.24,Matches
Fede San Emeterio,es ESP,MF,Cádiz,24-364,1997,6,6,496,5.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.08,0.08,0.00,0.08,Matches
Oihan Sancet,es ESP,FW,Athletic Club,21-324,2000,23,13,1211,13.5,6,4,6,0,0,1,0,0.45,0.30,0.74,0.45,0.74,2.2,2.2,1.9,4.1,0.16,0.14,0.31,0.16,0.31,Matches
Antonio Sánchez,es ESP,"MF,FW",Mallorca,25-073,1997,19,12,1056,11.7,1,0,1,0,0,1,1,0.09,0.00,0.09,0.09,0.09,1.0,1.0,0.2,1.2,0.09,0.02,0.11,0.09,0.11,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Germán Sánchez,es ESP,DF,Granada,35-135,1986,22,20,1745,19.4,2,0,2,0,0,7,0,0.10,0.00,0.10,0.10,0.10,1.1,1.1,0.0,1.1,0.05,0.00,0.05,0.05,0.05,Matches
Juan Sánchez,es ESP,MF,Sevilla,18-212,2003,1,0,5,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Manuel Sánchez,es ESP,DF,Osasuna,21-203,2000,25,19,1698,18.9,1,2,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16,0.3,0.3,1.0,1.3,0.02,0.05,0.07,0.02,0.07,Matches
Oier Sanjurjo,es ESP,MF,Osasuna,35-294,1986,18,5,481,5.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.08,0.04,0.12,0.08,0.12,Matches
Sergio Santos,es ESP,DF,Real Madrid,21-071,2001,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.32,0.32,0.00,0.32,Matches
Alvaro Sanz,es ESP,MF,Barcelona,21-029,2001,2,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.05,0.05,0.00,0.05,Matches
Joan Sastre Vanrell,es ESP,DF,Mallorca,24-319,1997,7,2,258,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
Esteban Saveljich,me MNE,DF,Rayo Vallecano,30-299,1991,21,21,1700,18.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.3,1.1,0.04,0.01,0.06,0.04,0.06,Matches
Stefan Savić,me MNE,DF,Atlético Madrid,31-066,1991,19,19,1630,18.1,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.1,1.4,0.07,0.00,0.08,0.07,0.08,Matches
Valentino Scotta,es ESP,DF,Sevilla,20-217,2001,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Aleksandar Sedlar,rs SRB,"DF,MF",Mallorca,30-092,1991,10,3,404,4.5,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
Javier Serrano,es ESP,MF,Atlético Madrid,19-058,2003,4,0,23,0.3,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Nicolás Serrano,es ESP,MF,Athletic Club,19-010,2003,11,3,291,3.2,1,0,1,0,0,0,0,0.31,0.00,0.31,0.31,0.31,0.4,0.4,0.1,0.5,0.13,0.02,0.15,0.13,0.15,Matches
Salva Sevilla,es ESP,MF,Mallorca,37-362,1984,19,11,967,10.7,4,2,0,4,4,0,0,0.37,0.19,0.56,0.00,0.19,3.7,0.7,2.1,2.8,0.34,0.20,0.54,0.06,0.26,Matches
David Silva,es ESP,MF,Real Sociedad,36-066,1986,18,16,1168,13.0,1,1,1,0,0,2,0,0.08,0.08,0.15,0.08,0.15,1.5,1.5,2.0,3.5,0.12,0.15,0.27,0.12,0.27,Matches
Jonathan Silva,ar ARG,"DF,MF",Getafe,27-259,1994,9,1,226,2.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.04,0.05,0.01,0.05,Matches
Rui Silva,pt POR,GK,Betis,28-036,1994,17,17,1530,17.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Unai Simón,es ESP,GK,Athletic Club,24-277,1997,24,24,2160,24.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Antonio Sivera,es ESP,GK,Alavés,25-216,1996,3,2,187,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Rubén Sobrino,es ESP,"FW,MF",Cádiz,29-287,1992,23,14,1326,14.7,0,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,2.6,2.5,1.1,3.7,0.17,0.08,0.25,0.17,0.25,Matches
Rubén Sobrino,es ESP,MF,Valencia,29-287,1992,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Alex Sola,es ESP,"DF,FW",Real Sociedad,22-279,1999,2,0,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.20,0.18,0.38,0.20,0.38,Matches
Augusto Solari,ar ARG,"MF,DF",Celta Vigo,30-071,1992,19,2,516,5.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.06,0.04,0.10,0.06,0.10,Matches
Roberto Soldado,es ESP,FW,Levante,36-292,1985,13,7,578,6.4,1,1,1,0,0,6,2,0.16,0.16,0.31,0.16,0.31,1.4,1.4,0.4,1.8,0.22,0.07,0.28,0.22,0.28,Matches
Carlos Soler,es ESP,MF,Valencia,25-072,1997,22,19,1695,18.8,9,4,3,6,6,4,0,0.48,0.21,0.69,0.16,0.37,7.1,2.5,2.8,5.3,0.38,0.15,0.52,0.13,0.28,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Son,es ESP,DF,Levante,27-350,1994,17,14,1248,13.9,1,0,1,0,0,3,1,0.07,0.00,0.07,0.07,0.07,0.7,0.7,0.6,1.3,0.05,0.04,0.09,0.05,0.09,Matches
David Soria,es ESP,GK,Getafe,28-345,1993,28,28,2514,27.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Alberto Soro,es ESP,"MF,FW",Granada,23-006,1999,12,7,530,5.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,1.1,0.09,0.10,0.18,0.09,0.18,Matches
Hugo Sotelo,es ESP,MF,Celta Vigo,18-086,2003,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Damián Suárez,uy URU,"DF,MF",Getafe,33-322,1988,25,23,2046,22.7,0,3,0,0,0,10,0,0.00,0.13,0.13,0.00,0.13,0.5,0.5,2.6,3.1,0.02,0.11,0.14,0.02,0.14,Matches
Denis Suárez,es ESP,MF,Celta Vigo,28-068,1994,28,24,2017,22.4,3,2,3,0,0,4,0,0.13,0.09,0.22,0.13,0.22,1.6,1.6,2.8,4.4,0.07,0.12,0.20,0.07,0.20,Matches
Luis Suárez,uy URU,FW,Atlético Madrid,35-050,1987,27,17,1523,16.9,9,2,8,1,2,7,0,0.53,0.12,0.65,0.47,0.59,7.6,6.1,1.3,7.3,0.45,0.08,0.52,0.36,0.43,Matches
Mario Suárez,es ESP,DF,Rayo Vallecano,35-019,1987,7,4,374,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.06,0.01,0.07,0.06,0.07,Matches
Suso,es ESP,FW,Sevilla,28-116,1993,8,6,384,4.3,0,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,0.2,0.2,0.4,0.6,0.05,0.09,0.14,0.05,0.14,Matches
Mamadou Sylla,sn SEN,FW,Alavés,27-360,1994,13,4,394,4.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.05,0.02,0.07,0.05,0.07,Matches
Mamadou Sylla,sn SEN,"FW,MF",Rayo Vallecano,27-360,1994,6,1,171,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.25,0.00,0.25,0.25,0.25,Matches
Alexander Sørloth,no NOR,FW,Real Sociedad,26-100,1995,23,10,916,10.2,1,0,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,3.2,3.2,1.3,4.6,0.32,0.13,0.45,0.32,0.45,Matches
Tachi,es ESP,DF,Alavés,24-186,1997,5,2,239,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,Matches
Renato Tapia,pe PER,MF,Celta Vigo,26-230,1995,22,12,1178,13.1,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.04,0.01,0.05,0.04,0.05,Matches
Cristian Tello,es ESP,"FW,MF",Betis,30-216,1991,19,4,724,8.0,1,2,1,0,0,2,0,0.12,0.25,0.37,0.12,0.37,1.6,1.6,2.0,3.6,0.20,0.24,0.45,0.20,0.45,Matches
Nahuel Tenaglia,ar ARG,DF,Alavés,26-022,1996,6,5,487,5.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.03,0.02,0.05,0.03,0.05,Matches
Marc-André ter Stegen,de GER,GK,Barcelona,29-319,1992,25,25,2250,25.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
David Timor,es ESP,MF,Getafe,32-149,1989,7,3,341,3.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.00,0.06,0.06,0.06,Matches
Raúl de Tomás,es ESP,FW,Espanyol,27-149,1994,26,26,2286,25.4,13,3,9,4,4,6,2,0.51,0.12,0.63,0.35,0.47,11.5,8.5,1.5,10.0,0.45,0.06,0.51,0.33,0.39,Matches
Raúl Torrente,es ESP,DF,Granada,21-014,2001,17,14,1267,14.1,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.8,1.2,0.02,0.06,0.08,0.02,0.08,Matches
Ferrán Torres,es ESP,FW,Barcelona,22-014,2000,7,6,550,6.1,3,2,2,1,1,0,0,0.49,0.33,0.82,0.33,0.65,4.1,3.4,0.8,4.2,0.67,0.13,0.81,0.55,0.68,Matches
Óliver Torres,es ESP,"MF,FW",Sevilla,27-125,1994,18,9,740,8.2,2,1,2,0,0,1,0,0.24,0.12,0.36,0.24,0.36,0.8,0.8,0.8,1.5,0.09,0.09,0.19,0.09,0.19,Matches
Pau Torres,es ESP,DF,Villarreal,25-058,1997,25,25,2205,24.5,4,0,4,0,0,3,0,0.16,0.00,0.16,0.16,0.16,2.6,2.6,0.9,3.5,0.11,0.04,0.14,0.11,0.14,Matches
