1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xA,Expected_npxG+xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,32_Matches
Rafa Mir,es ESP,FW,Sevilla,24-270,1997,26,17,1572,17.5,8,0,8,0,0,3,0,0.46,0.00,0.46,0.46,0.46,5.4,5.4,0.2,5.7,0.31,0.01,0.32,0.31,0.32,Matches
Jorge Miramón,es ESP,DF,Levante,32-286,1989,19,15,1372,15.2,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.5,0.00,0.03,0.03,0.00,0.03,Matches
Juan Miranda,es ESP,DF,Betis,22-055,2000,9,7,592,6.6,0,1,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,0.1,0.1,0.3,0.4,0.02,0.05,0.06,0.02,0.06,Matches
Stefan Mitrović,rs SRB,DF,Getafe,31-297,1990,24,23,1949,21.7,1,0,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,0.2,0.2,0.0,0.2,0.01,0.00,0.01,0.01,0.01,Matches
Luka Modrić,hr CRO,MF,Real Madrid,36-187,1985,21,19,1564,17.4,2,5,1,1,1,2,0,0.12,0.29,0.40,0.06,0.35,2.3,1.6,2.8,4.4,0.13,0.16,0.30,0.09,0.25,Matches
Johan Mojica,co COL,DF,Elche,29-206,1992,27,26,2336,26.0,1,4,1,0,0,4,0,0.04,0.15,0.19,0.04,0.19,0.5,0.5,4.2,4.8,0.02,0.16,0.18,0.02,0.18,Matches
Jorge Molina,es ESP,FW,Granada,39-327,1982,26,13,1394,15.5,7,3,7,0,0,1,0,0.45,0.19,0.65,0.45,0.65,3.7,3.7,1.6,5.3,0.24,0.10,0.34,0.24,0.34,Matches
Jon Moncayola,es ESP,MF,Osasuna,23-306,1998,27,25,2211,24.6,2,3,2,0,0,2,0,0.08,0.12,0.20,0.08,0.20,2.0,2.0,1.8,3.8,0.08,0.07,0.15,0.08,0.15,Matches
Monchu,es ESP,MF,Granada,22-183,1999,14,7,668,7.4,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.7,0.06,0.03,0.09,0.06,0.09,Matches
Gonzalo Montiel,ar ARG,DF,Sevilla,25-073,1997,13,13,887,9.9,1,2,1,0,0,4,0,0.10,0.20,0.30,0.10,0.30,0.2,0.2,1.2,1.4,0.02,0.12,0.14,0.02,0.14,Matches
